week,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
2025-08-25,Nusa Tenggara Barat,616.0,12,-8.917,51.333
2025-08-25,Nusa Tenggara Timur,685.0,10,-9.6,68.5
2025-08-25,Papua,230.0,3,-10.0,76.667
2025-08-25,Papua Barat,130.0,2,-9.5,65.0
2025-08-25,Riau,2617.0,31,-8.645,84.419
2025-08-25,Sulawesi Selatan,3716.0,52,-8.731,71.462
2025-08-25,Sulawesi Tengah,307.5,4,-8.5,76.875
2025-08-25,Sulawesi Tenggara,13.0,1,-6.5,13.0
2025-08-25,Sulawesi Utara,129.0,2,-7.75,64.5
2025-08-25,Sumatera Selatan,280.0,4,-10.0,70.0
2025-08-25,Sumatera Utara,3729.0,71,-8.331,52.521
2025-08-25,Unknown,1828.0,26,-9.019,70.308
2025-09-01,Aceh,43.0,2,-8.25,21.5
2025-09-01,Bali,291.5,6,-7.833,48.583
2025-09-01,Banten,1179.5,19,-8.237,62.079
2025-09-01,Bengkulu,65.0,1,-6.5,65.0
2025-09-01,Daerah Istimewa Yogyakarta,1125.0,21,-8.143,53.571
2025-09-01,Dki Jakarta,4757.0,65,-8.385,73.185
2025-09-01,Gorontalo,390.0,8,-8.062,48.75
2025-09-01,Jambi,152.5,3,-8.833,50.833
2025-09-01,Jawa Barat,3386.0,53,-8.613,63.887
2025-09-01,Jawa Tengah,1871.0,32,-8.203,58.469
2025-09-01,Jawa Timur,5551.0,92,-8.516,60.337
2025-09-01,Kalimantan Barat,13.0,1,-6.5,13.0
2025-09-01,Kalimantan Selatan,333.0,3,-9.833,111.0
2025-09-01,Kalimantan Tengah,226.0,3,-8.833,75.333
2025-09-01,Kalimantan Timur,200.0,1,-10.0,200.0
2025-09-01,Kepulauan Bangka Belitung,104.0,2,-6.5,52.0
2025-09-01,Kepulauan Riau,93.0,2,-8.25,46.5
2025-09-01,Lampung,234.5,4,-8.0,58.625
2025-09-01,Nusa Tenggara Barat,307.0,6,-9.0,51.167
2025-09-01,Nusa Tenggara Timur,110.0,2,-10.0,55.0
2025-09-01,Papua,160.0,6,-8.667,26.667
